team_name,season,player_id,player_position
Atlanta Hawks,2015-16,h/hinriki01,PG
Atlanta Hawks,2015-16,h/holidju01,SG
Atlanta Hawks,2015-16,h/horfoal01,C
Atlanta Hawks,2015-16,h/humphkr01,PF
Atlanta Hawks,2015-16,k/korveky01,SG
Atlanta Hawks,2015-16,m/macksh01,PG
Atlanta Hawks,2015-16,m/millspa01,PF
Atlanta Hawks,2015-16,m/muscami01,C
Atlanta Hawks,2015-16,p/pattela01,SG
Atlanta Hawks,2015-16,s/schrode01,PG
Atlanta Hawks,2015-16,s/scottmi01,PF
Atlanta Hawks,2015-16,s/sefolth01,SF
Atlanta Hawks,2015-16,s/splitti01,C
Atlanta Hawks,2015-16,t/tavarwa01,C
Atlanta Hawks,2015-16,t/teaguje01,PG
Boston Celtics,2025-26,p/pritcpa01,PG
Boston Celtics,2025-26,s/simonan01,SG
Boston Celtics,2025-26,h/hausesa01,PF
Boston Celtics,2025-26,w/whitede01,SG
Boston Celtics,2025-26,b/brownja02,SF
Boston Celtics,2025-26,q/quetane01,C
Boston Celtics,2025-26,s/scheiba01,SG
Boston Celtics,2025-26,w/walshjo01,PF
Boston Celtics,2025-26,g/gonzahu01,SF
Boston Celtics,2025-26,m/minotjo01,PF
Boston Celtics,2025-26,g/garzalu01,C
Boston Celtics,2025-26,t/tillmxa01,C
Boston Celtics,2025-26,b/bouchch01,PF
Boston Celtics,2025-26,w/william01,PF
Boston Celtics,2025-26,h/harpero02,SF
Boston Celtics,2025-26,s/shulgma01,SG
Boston Celtics,2025-26,t/tatumja01,PF
Boston Celtics,2024-25,b/brownja02,SF
Boston Celtics,2024-25,c/craigto01,SF
Boston Celtics,2024-25,d/davisjd01,PG
Boston Celtics,2024-25,h/hausesa01,PF
Boston Celtics,2024-25,h/holidjr01,PG
Boston Celtics,2024-25,h/horfoal01,C
Boston Celtics,2024-25,k/kornelu01,C
Boston Celtics,2024-25,n/norrimi01,PF
Boston Celtics,2024-25,p/peterdr01,PF
Boston Celtics,2024-25,p/porzikr01,C
Boston Celtics,2024-25,p/pritcpa01,PG
Boston Celtics,2024-25,q/quetane01,C
Boston Celtics,2024-25,s/scheiba01,SG
Boston Celtics,2024-25,s/sprinja01,SG
Boston Celtics,2024-25,t/tatumja01,PF
Boston Celtics,2024-25,t/tillmxa01,C
Boston Celtics,2024-25,w/walshjo01,PF
Boston Celtics,2024-25,w/whitede01,SG
Boston Celtics,2023-24,b/bantoda01,PG
Boston Celtics,2023-24,b/brissos01,SF
Boston Celtics,2023-24,b/brownja02,SF
Boston Celtics,2023-24,d/davisjd01,SG
Boston Celtics,2023-24,h/hausesa01,SF
Boston Celtics,2023-24,h/holidjr01,PG
Boston Celtics,2023-24,h/horfoal01,C
Boston Celtics,2023-24,k/kornelu01,C
Boston Celtics,2023-24,m/mykhasv01,SF
Boston Celtics,2023-24,p/peterdr01,PF
Boston Celtics,2023-24,p/porzikr01,C
Boston Celtics,2023-24,p/pritcpa01,PG
Boston Celtics,2023-24,q/quetane01,C
Boston Celtics,2023-24,s/sprinja01,SG
Boston Celtics,2023-24,s/stevela01,PF
Boston Celtics,2023-24,t/tatumja01,PF
Boston Celtics,2023-24,t/tillmxa01,PF
Boston Celtics,2023-24,w/walshjo01,SF
Boston Celtics,2023-24,w/whitede01,SG
Boston Celtics,2022-23,b/brogdma01,PG
Boston Celtics,2022-23,b/brownja02,SF
Boston Celtics,2022-23,c/champju01,SF
Boston Celtics,2022-23,d/davisjd01,SG
Boston Celtics,2022-23,g/griffbl01,C
Boston Celtics,2022-23,h/hausesa01,SF
Boston Celtics,2022-23,h/horfoal01,C
Boston Celtics,2022-23,j/jacksju01,SF
Boston Celtics,2022-23,k/kabenmf01,PF
Boston Celtics,2022-23,k/kornelu01,C
Boston Celtics,2022-23,m/muscami01,C
Boston Celtics,2022-23,p/pritcpa01,PG
Boston Celtics,2022-23,s/smartma01,PG
Boston Celtics,2022-23,t/tatumja01,SF
Boston Celtics,2022-23,v/vonleno01,C
Boston Celtics,2022-23,w/whitede01,SG
Boston Celtics,2022-23,w/willigr01,PF
Boston Celtics,2022-23,w/williro04,C
Boston Celtics,2021-22,b/brownja02,SF
Boston Celtics,2021-22,f/fernabr01,C
Boston Celtics,2021-22,f/fittsma01,PF
Boston Celtics,2021-22,k/kanteen01,C
Boston Celtics,2021-22,h/hausesa01,SF
Boston Celtics,2021-22,h/hernaju01,PF
Boston Celtics,2021-22,h/horfoal01,C
Boston Celtics,2021-22,j/jacksju01,SF
Boston Celtics,2021-22,j/johnsjo02,SG
Boston Celtics,2021-22,k/kornelu01,C
Boston Celtics,2021-22,l/langfro01,SG
Boston Celtics,2021-22,m/martike03,SF
Boston Celtics,2021-22,m/milescj01,SG
Boston Celtics,2021-22,m/morgaju01,PF
Boston Celtics,2021-22,n/nesmiaa01,SF
Boston Celtics,2021-22,p/parkeja01,PF
Boston Celtics,2021-22,p/pritcpa01,PG
Boston Celtics,2021-22,r/richajo01,SG
Boston Celtics,2021-22,r/ryanma01,SF
