,id,name,pos,shoots,age,is_alive,height,weight,career length,is_active,has_hall_of_fame,count_allstar,stat_games,stat_points,stat_total_rebounds,stat_assists,stat_field_goal_pct,stat_three_point_field_goal_pct,stat_effective_field_goal_pct,stat_free_throw_pct,stat_efficiency_rating,stat_win_shares
542,m/markkla01,Lauri Markkanen,Power Forward and Small Forward,Right,28.649315068493152,True,216,108,8,True,False,1,480.0,18.8,7.1,1.5,45.7,37.1,87.1,54.7,17.6,36.0
543,m/mokokad01,Adam Mokoka,Shooting Guard and Small Forward,Right,27.493150684931507,True,193,86,2,True,False,0,25.0,1.9,0.6,0.4,40.4,28.0,40.0,47.9,6.2,0.0
544,p/porteot01,Otto Porter Jr.,Small Forward and Power Forward,Right,32.61917808219178,True,203,89,11,False,False,0,527.0,10.3,4.9,1.5,47.7,39.7,79.7,55.5,15.5,36.7
545,s/satorto01,TomÃ¡Å¡ SatoranskÃ½,"Shooting Guard, Point Guard, and Small Forward",Right,34.21369863013699,True,201,95,6,False,False,0,388.0,6.9,2.9,4.1,46.8,35.4,82.0,52.3,13.3,17.9
546,v/valende01,Denzel Valentine,Shooting Guard and Small Forward,Right,32.16438356164384,True,193,99,5,True,False,0,256.0,7.0,3.3,1.8,39.4,36.0,78.7,49.8,10.6,4.5
547,s/strusma01,Max Strus,Small Forward,Right,29.8,True,196,97,6,True,False,0,309.0,10.4,3.4,2.4,42.7,36.8,81.2,56.1,11.8,15.3
548,a/alkinra01,Rawle Alkins,Shooting Guard,Right,28.21095890410959,True,196,102,1,True,False,0,10.0,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1
549,b/blakean01,Antonio Blakeney,Shooting Guard,Right,29.279452054794522,True,193,87,2,False,False,0,76.0,7.5,1.8,0.8,40.6,35.7,69.6,45.4,10.5,-0.6
550,l/lemonwa01,Walt Lemon Jr.,Point Guard,Left,33.47397260273973,True,190,81,2,False,False,0,11.0,9.4,2.6,3.2,43.7,50.0,71.4,45.1,14.7,0.0
551,l/lopezro01,Robin Lopez,Center,Right,37.794520547945204,True,216,127,16,False,False,0,992.0,8.4,4.7,0.8,53.7,29.7,74.3,54.1,15.8,49.6
552,p/payneca01,Cameron Payne,Point Guard and Shooting Guard,Left,31.438356164383563,True,188,83,10,True,False,0,477.0,7.8,2.0,3.2,41.9,36.8,83.6,50.1,13.4,13.9
553,p/portibo01,Bobby Portis,Power Forward and Center,Right,30.92876712328767,True,206,113,10,True,False,0,690.0,12.0,7.1,1.3,47.9,38.9,76.4,53.6,17.2,35.4
554,s/sampsbr01,Brandon Sampson,Shooting Guard,Right,28.706849315068492,True,196,83,1,True,False,0,14.0,5.1,1.1,0.7,46.7,37.9,66.7,55.8,8.5,0.0
555,s/sampsja02,JaKarr Sampson,Small Forward and Power Forward,Right,32.824657534246576,True,201,97,6,False,False,0,236.0,5.2,2.7,0.7,47.1,24.8,67.0,50.0,10.5,3.5
556,s/seldewa01,Wayne Selden,Shooting Guard,Right,31.293150684931508,True,193,105,4,False,False,0,127.0,7.2,2.0,1.5,41.5,34.4,71.8,48.4,9.1,0.2
557,u/ulisty01,Tyler Ulis,Point Guard,Right,30.027397260273972,True,178,72,3,False,False,0,133.0,7.5,1.7,4.0,40.3,28.0,80.8,43.5,11.3,0.5
558,a/asikom01,Ãmer AÅÄ±k,Center,Right,39.53972602739726,True,213,115,8,False,False,0,471.0,5.3,7.1,0.6,52.8,0.0,55.1,52.8,13.4,20.9
