team_name,season,player_name,player_id,player_position
Boston Celtics,2020-21,Marcus Smart,s/smartma01,PG
Boston Celtics,2020-21,Jayson Tatum,t/tatumja01,SF
Boston Celtics,2020-21,Jeff Teague,t/teaguje01,PG
Boston Celtics,2020-21,Daniel Theis,t/theisda01,C
Boston Celtics,2020-21,Tristan Thompson,t/thomptr01,C
Boston Celtics,2020-21,Moritz Wagner,w/wagnemo01,C
Boston Celtics,2020-21,Kemba Walker,w/walkeke02,PG
Boston Celtics,2020-21,Tremont Waters,w/watertr01,PG
Boston Celtics,2020-21,Grant Williams,w/willigr01,PF
Boston Celtics,2020-21,Robert Williams,w/williro04,C
Boston Celtics,2019-20,Jaylen Brown,b/brownja02,SG
Boston Celtics,2019-20,Carsen Edwards,e/edwarca01,SG
Boston Celtics,2019-20,Tacko Fall,f/fallta01,C
Boston Celtics,2019-20,Enes Freedom,k/kanteen01,C
Boston Celtics,2019-20,Javonte Green,g/greenja02,SG
Boston Celtics,2019-20,Gordon Hayward,h/haywago01,SF
Boston Celtics,2019-20,Romeo Langford,l/langfro01,SG
Boston Celtics,2019-20,Semi Ojeleye,o/ojelese01,PF
Boston Celtics,2019-20,Vincent Poirier,p/poirivi01,C
Boston Celtics,2019-20,Marcus Smart,s/smartma01,SG
Boston Celtics,2019-20,Jayson Tatum,t/tatumja01,PF
Boston Celtics,2019-20,Daniel Theis,t/theisda01,C
Boston Celtics,2019-20,Kemba Walker,w/walkeke02,PG
Boston Celtics,2019-20,Brad Wanamaker,w/wanambr01,PG
Boston Celtics,2019-20,Tremont Waters,w/watertr01,PG
Boston Celtics,2019-20,Grant Williams,w/willigr01,PF
Boston Celtics,2019-20,Robert Williams,w/williro04,C
Boston Celtics,2018-19,Aron Baynes,b/baynear01,C
Boston Celtics,2018-19,Jaylen Brown,b/brownja02,SG
Boston Celtics,2018-19,PJ Dozier,d/doziepj01,SG
Boston Celtics,2018-19,Gordon Hayward,h/haywago01,PF
